Question ID,Model Name,Topic,Difficulty,Question,Correct Answer,Verified Solution,AI Response,Correctness Score,Reasoning Score,Clarity Score,Error Type,Final Score ,Evaluator Explanation
M001,GPT-4o,Percentages,Easy,"A shirt marked at ₹2,000 is sold at a discount of 15%. Find its selling price.","Selling Price is ₹1,700","Selling Price is ₹1,700","Step 1: Identify the marked price.
Marked Price = ₹2,000

Step 2: Calculate the discount.
Discount = 15% of ₹2,000
= (15/100) × 2,000
= ₹300

Step 3: Calculate the selling price.
Selling Price = Marked Price − Discount
= ₹2,000 − ₹300
= ₹1,700

Final Answer: ₹1,700",4,3,3,Structural Error,70,"Given values are not mentioned at starting, Mentioning given information is important before starting maths"
M001,Claude,Percentages,Easy,"A shirt marked at ₹2,000 is sold at a discount of 15%. Find its selling price.","Selling Price is ₹1,700","Selling Price is ₹1,700","Solution

Given:
- Marked Price (MP) = Rs. 2,000
- Discount = 15%

Step 1: Calculate the Discount Amount
Discount Amount = (Discount % / 100) x Marked Price
               = (15 / 100) x 2000
               = 30000 / 100
               = Rs. 300

Step 2: Calculate the Selling Price
Selling Price = Marked Price - Discount Amount
             = Rs. 2000 - Rs. 300
             = Rs. 1,700

Alternate (Shortcut) Method:
A 15% discount means the customer pays (100 - 15) = 85% of the marked price.
Selling Price = (85 / 100) x 2000
             = Rs. 1,700  (Same answer, confirmed)

Final Answer: The selling price of the shirt is Rs. 1,700.",4,4,3,Symbol Error,76,Missing Rupee symbol
M001,Gemini,Percentages,Easy,"A shirt marked at ₹2,000 is sold at a discount of 15%. Find its selling price.","Selling Price is ₹1,700","Selling Price is ₹1,700","Here is the step by step solution:

Given information:
Marked price of the shirt = 2000 rupees
Discount rate = 15 percent

Step 1: Calculate the discount amount.
The discount amount is 15 percent of the marked price.
Discount = (15 / 100) x 2000
Discount = 0.15 x 2000
Discount = 300 rupees

Step 2: Calculate the selling price.
The selling price is the marked price minus the discount amount.
Selling price = 2000 - 300
Selling price = 1700 rupees

Final Answer:
The selling price of the shirt is 1700 rupees.",3,2,3,Multiple Errors,54,"Rupee symbol is missing, in mathematics symbols are more prominent to use everytime otherthan words."
M002,GPT-4o,Percentages,Medium,A number is increased by 20% and then decreased by 20%. What is the overall percentage change?,4% Reduced,4% Reduced,"Let the original number be 100.

Step 1: Increase the number by 20%.
20% of 100 = 20
New number = 100 + 20 = 120

Step 2: Decrease the new number by 20%.
20% of 120 = 24
New number = 120 − 24 = 96

Step 3: Compare the final number with the original number.
Original number = 100
Final number = 96
Decrease = 100 − 96 = 4
Percentage change = 4%
Since the final number is smaller, the overall change is a 4% decrease.

Final Answer: 4% decrease.",4,3,3,Structural Error,70,"Why 100 is taken is not explained properly, important to mention that -  100 is easy to calculate. Calculation steps are missing"
M002,Claude,Percentages,Medium,A number is increased by 20% and then decreased by 20%. What is the overall percentage change?,4% Reduced,4% Reduced,"Solution

Given:
- A number is first increased by 20%, then decreased by 20%.
- Find the overall percentage change.

Step 1: Assume a convenient starting number
Let the original number = 100
(We use 100 to make percentage calculations easy.)

Step 2: Increase the number by 20%
Increase Amount = 20% of 100
               = (20 / 100) x 100
               = 20
Number after increase = 100 + 20 = 120

Step 3: Decrease the result by 20%
Decrease Amount = 20% of 120
               = (20 / 100) x 120
               = 24

Number after decrease = 120 - 24 = 96

Step 4: Calculate the overall percentage change
Overall Change = Final Value - Original Value
              = 96 - 100
              = -4  (negative means a decrease)
Percentage Change = (Overall Change / Original Value) x 100
                 = (-4 / 100) x 100
                 = -4%
Key Insight:

The 20% increase and 20% decrease do NOT cancel each other out.
The second 20% is applied to a LARGER number (120), so the
decrease in absolute terms (24) is greater than the increase (20).
This always results in a net loss.

Final Answer: The overall percentage change is a DECREASE of 4%.",5,5,5,No Error,100,"Well structured and all steps are cleary shown, but not mentioned increasing means addition and decreasing means subtraction"
M002,Gemini,Percentages,Medium,A number is increased by 20% and then decreased by 20%. What is the overall percentage change?,4% Reduced,4% Reduced,"Let the initial number be 100 to make the calculations clear.

Step 1: Calculate the value after the 20% increase.
A 20% increase means adding 20% of the original number to itself.
20% of 100 = (20 / 100) x 100 = 20
Increased number = 100 + 20 = 120

Step 2: Calculate the value after the 20% decrease.
The new starting number is now 120. A 20% decrease means subtracting 20% of 120 from it.
20% of 120 = (20 / 100) x 120 = 24
Final number = 120 - 24 = 96

Step 3: Calculate the overall percentage change.
The original number was 100, and the final number is 96.
Total change in value = 100 - 96 = 4 (this represents a decrease).
Overall percentage change = (Total change / Original number) x 100
Overall percentage change = (4 / 100) x 100 = 4%

The overall percentage change is a 4% decrease.",4,3,3,Structural Error,70,Given information and what to find is not mentioned.
M003,GPT-4o,Percentages,Medium,The price of a book increases from ₹400 to ₹460. Find the percentage increase.,15% increased,15% increased,"Step 1: Identify the original price.
Original price = ₹400

Step 2: Find the increase in price.
Increase = New price − Original price
= ₹460 − ₹400
= ₹60

Step 3: Calculate the percentage increase.
Percentage increase = (Increase / Original price) × 100
= (60 / 400) × 100
= 15%

Final Answer: 15% increase.",4,3,4,Structural Error,74,"All the given values are not mentioned at starting, Why comparing with Original price is not explanied."
M003,Claude,Percentages,Medium,The price of a book increases from ₹400 to ₹460. Find the percentage increase.,15% increased,15% increased,"Solution

Given:
- Original Price = Rs. 400
- New Price = Rs. 460
- Find the percentage increase

Step 1: Find the Amount of Increase
Increase = New Price - Original Price
         = Rs. 460 - Rs. 400
         = Rs. 60

Step 2: Apply the Percentage Increase Formula

Percentage Increase = (Increase / Original Price) x 100
                    = (60 / 400) x 100
                    = 6000 / 400
                    = 15%

Verification:
15% of Rs. 400 = (15 / 100) x 400
               = Rs. 60

Original Price + Increase = 400 + 60 = Rs. 460  (Matches the new price, confirmed)

Key Point:
Percentage increase is always calculated with respect to the
ORIGINAL value, not the new value. Using the wrong base is a
very common mistake to avoid.

Final Answer: The price increased by 15%.",4,5,4,Symbol Error,86,"All steps are organized properly, but Rupee symbol is missing"
M003,Gemini,Percentages,Medium,The price of a book increases from ₹400 to ₹460. Find the percentage increase.,15% increased,15% increased,"Here is the step by step solution:

Given information:
Initial price of the book = 400 rupees
Final price of the book = 460 rupees

Step 1: Calculate the increase in price.
The increase in price is the difference between the final price and the initial price.
Increase = Final price - Initial price
Increase = 460 - 400
Increase = 60 rupees

Step 2: Calculate the percentage increase.
The percentage increase is the increase in price divided by the initial price, multiplied by 100.
Percentage increase = (Increase / Initial price) x 100
Percentage increase = (60 / 400) x 100
Percentage increase = 0.15 x 100
Percentage increase = 15 percent

Final Answer:
The percentage increase in the price of the book is 15 percent.",4,4,4,Symbol Error,80,Why comparing with intial price is not explained properly and Rupee symbol is missing.
M004,GPT-4o,Percentages,Hard,"A person's salary is increased by 25% and then decreased by 20%. If the original salary was ₹40,000, what is the final salary and what is the overall percentage change?","Final Salary is 40,000, 0% change","Final Salary is 40,000, 0% change","Step 1: Identify the original salary.
Original salary = ₹40,000

Step 2: Increase the salary by 25%.
Increase = 25% of ₹40,000
= (25/100) × 40,000
= ₹10,000
New salary = ₹40,000 + ₹10,000
= ₹50,000

Step 3: Decrease the new salary by 20%.
Decrease = 20% of ₹50,000
= (20/100) × 50,000
= ₹10,000

Final salary = ₹50,000 − ₹10,000
= ₹40,000

Step 4: Find the overall percentage change.
Original salary = ₹40,000
Final salary = ₹40,000

Change = ₹40,000 − ₹40,000 = ₹0

Percentage change = (0 / 40,000) × 100 = 0%

Therefore, there is no overall change in the salary.

Final Answer:
Final salary = ₹40,000
Overall percentage change = 0% (no change)",4,3,4,Conceptual Error,74,"Even though the changes are different 20% and 25%, why the final amount aslo same as original one is not explained"
